FLO.ST — Table des vecteurs système Smaky 6
============================================================
343 entrées de 8 octets

  N°     Adr  Nom       Octets raw
 212  0x32E7  ?SCAR     32 E7 20 D2 C1 43 D3 3F
 213  0x46E7  ?SAVES    46 E7 53 C5 D6 41 D3 3F
 214  0x0FD7  ?RTN      0F D7 20 A0 CE 54 D2 3F
 215  0x14E7  ?RPR      14 E7 20 A0 D2 50 D2 3F
 216  0x28E7  ?RPAR     28 E7 20 D2 C1 50 D2 3F
 217  0x15E7  ?RMOD     15 E7 20 C4 CF 4D D2 3F
 218  0x23E7  ?RETUR    23 E7 52 D5 D4 45 D2 3F
 219  0x05D7  ?RESET    05 D7 54 C5 D3 45 D2 3F
 220  0x1AD7  ?REPDX    1A D7 58 C4 D0 45 D2 3F
 221  0x02D7  ?RENAM    02 D7 4D C1 CE 45 D2 3F;?RENAME
 222  0x07D7  ?RDLIN    07 D7 4E C9 CC 44 D2 3F;?RDLINE
 223  0x19D7  ?RDERO    19 D7 4F D2 C5 44 D2 3F
 224  0x60E7  ?RDCLK    60 E7 4B CC C3 44 D2 3F
 225  0x15D7  ?RDBYT    15 D7 54 D9 C2 44 D2 3F;?RDBYTE
 226  0x06D7  ?RDBLK    06 D7 4B CC C2 44 D2 3F
 227  0x44E7  ?PUNBI    44 E7 49 C2 CE 55 D0 3F
 228  0x47E7  ?PRSTA    47 E7 41 D4 D3 52 D0 3F
 229  0x3DE7  ?PLAY     3D E7 20 D9 C1 4C D0 3F
 230  0x14D7  ?OPEN     14 D7 20 CE C5 50 CF 3F
 231  0x03D7  ?OPEBL    03 D7 4C C2 C5 50 CF 3F;?OPEBLK
 232  0x2FE7  ?MUL      2F E7 20 A0 CC 55 CD 3F
 233  0x5CE7  ?MON      5C E7 20 A0 CE 4F CD 3F
 234  0x20D7  ?MODAY    20 D7 59 C1 C4 4F CD 3F
 235  0x1BE7  ?MEM      1B E7 20 A0 CD 45 CD 3F
 236  0x43E7  ?LOADB    43 E7 42 C4 C1 4F CC 3F
 237  0x1ED7  ?LOAD     1E D7 20 C4 C1 4F CC 3F
 238  0x0ED7  ?LIST     0E D7 20 D4 D3 49 CC 3F
 239  0x0BD7  ?LGO      0B D7 20 A0 CF 47 CC 3F
 240  0x2DE7  ?JUMPI    2D E7 49 D0 CD 55 CA 3F
 241  0x31E7  ?JUMPC    31 E7 43 D0 CD 55 CA 3F
 242  0x0BE7  ?ITRAP    0B E7 50 C1 D2 54 C9 3F
 243  0x02E7  ?ITIME    02 E7 45 CD C9 54 C9 3F;?ITIMER
 244  0x03E7  ?ITIMA    03 E7 41 CD C9 54 C9 3F;?ITIMAD
 245  0x04E7  ?IRTC     04 E7 20 C3 D4 52 C9 3F
 246  0x09E7  ?IRST7    09 E7 37 D4 D3 52 C9 3F
 247  0x0BE7  ?IRST6    0B E7 36 D4 D3 52 C9 3F
 248  0x0AE7  ?IRST5    0A E7 35 D4 D3 52 C9 3F
 249  0x08E7  ?IRST2    08 E7 32 D4 D3 52 C9 3F
 250  0x07E7  ?IRST1    07 E7 31 D4 D3 52 C9 3F
 251  0x2CE7  ?IPOIN    2C E7 4E C9 CF 50 C9 3F
 252  0x36E7  ?INXHL    36 E7 4C C8 D8 4E C9 3F
 253  0x1FE7  ?INTUS    1F E7 53 D5 D4 4E C9 3F
 254  0x37E7  ?INOHL    37 E7 4C C8 CF 4E C9 3F
 255  0x37E7  ?INOC     37 E7 20 C3 CF 4E C9 3F
 256  0x40E7  ?INMON    40 E7 4E CF CD 4E C9 3F
 257  0x36E7  ?INHEX    36 E7 58 C5 C8 4E C9 3F
 258  0x35E7  ?INDHL    35 E7 4C C8 C4 4E C9 3F
 259  0x35E7  ?INDEC    35 E7 43 C5 C4 4E C9 3F
 260  0x4CE7  ?INCYE    4C E7 45 D9 C3 4E C9 3F
 261  0x49E7  ?INCSE    49 E7 45 D3 C3 4E C9 3F
 262  0x4AE7  ?INCHO    4A E7 4F C8 C3 4E C9 3F
 263  0x4BE7  ?INCDA    4B E7 41 C4 C3 4E C9 3F
 264  0x50E7  ?IMODE    50 E7 45 C4 CF 4D C9 3F
 265  0x12E7  ?IGRA     12 E7 20 C1 D2 47 C9 3F
 266  0x26E7  ?IFWPP    26 E7 50 D0 D7 46 C9 3F
 267  0x2BE7  ?IFWPA    2B E7 41 D0 D7 46 C9 3F
 268  0x27E7  ?IFWMO    27 E7 4F CD D7 46 C9 3F;?IFWMOD
 269  0x24E7  ?IFRPR    24 E7 52 D0 D2 46 C9 3F
 270  0x29E7  ?IFRPA    29 E7 41 D0 D2 46 C9 3F
 271  0x25E7  ?IFRMO    25 E7 4F CD D2 46 C9 3F;?IFRMOD
 272  0x0DE7  ?IFCAR    0D E7 52 C1 C3 46 C9 3F
 273  0x56E7  ?IDIS     56 E7 20 D3 C9 44 C9 3F
 274  0x10E7  ?IDICA    10 E7 41 C3 C9 44 C9 3F
 275  0x11E7  ?IALPH    11 E7 48 D0 CC 41 C9 3F;?IALPHA
 276  0x13E7  ?IAGRA    13 E7 41 D2 C7 41 C9 3F
 277  0x0CE7  ?IADNM    0C E7 4D CE C4 41 C9 3F;?IADNMI
 278  0x5BE7  ?HLDEL    5B E7 4C C5 C4 4C C8 3F
 279  0x67E7  ?GTOD     67 E7 20 C4 CF 54 C7 3F
 280  0x21D7  ?GSAMO    21 D7 4F CD C1 53 C7 3F
 281  0x3FE7  ?GRAAL    3F E7 4C C1 C1 52 C7 3F
 282  0x1BD7  ?GNBLK    1B D7 4B CC C2 4E C7 3F
 283  0x65E7  ?GJOUR    65 E7 52 D5 CF 4A C7 3F
 284  0x23D7  ?GHEAD    23 D7 44 C1 C5 48 C7 3F
 285  0x05E7  ?GETLI    05 E7 49 CC D4 45 C7 3F;?GETLINE
 286  0x1DE7  ?GETLB    1D E7 42 CC D4 45 C7 3F
 287  0x0EE7  ?GETFO    0E E7 4F C6 D4 45 C7 3F
 288  0x21E7  ?GETCU    21 E7 55 C3 D4 45 C7 3F
 289  0x01E7  ?GETCA    01 E7 41 C3 D4 45 C7 3F;?GETCAR
 290  0x4FE7  ?GETAR    4F E7 52 C1 D4 45 C7 3F
 291  0x1FD7  ?GDIR     1F D7 20 D2 C9 44 C7 3F
 292  0x66E7  ?GDAY     66 E7 20 D9 C1 44 C7 3F
 293  0x0DD7  ?FORMA    0D D7 41 CD D2 4F C6 3F;?FORMAT
 294  0x48E7  ?EXECU    48 E7 55 C3 C5 58 C5 3F
 295  0x18D7  ?ERROR    18 D7 52 CF D2 52 C5 3F
 296  0x0FE7  ?ENI50    0F E7 30 B5 C9 4E C5 3F
 297  0x3CE7  ?EFLI     3C E7 20 C9 CC 46 C5 3F
 298  0x5AE7  ?EFECR    5A E7 52 C3 C5 46 C5 3F
 299  0x30E7  ?DIV      30 E7 20 A0 D6 49 C4 3F
 300  0x06E7  ?DITEX    06 E7 58 C5 D4 49 C4 3F
 301  0x1EE7  ?DITEB    1E E7 42 C5 D4 49 C4 3F
 302  0x1CD7  ?DIR      1C D7 20 A0 D2 49 C4 3F
 303  0x00E7  ?DICAR    00 E7 52 C1 C3 49 C4 3F
 304  0x01D7  ?DELET    01 D7 54 C5 CC 45 C4 3F;?DELETE
 305  0x57E7  ?DELAY    57 E7 59 C1 CC 45 C4 3F
 306  0x58E7  ?DEL      58 E7 20 A0 CC 45 C4 3F
 307  0x00D7  ?CREBL    00 D7 4C C2 C5 52 C3 3F;?CREBLK
 308  0x13D7  ?CREAT    13 D7 54 C1 C5 52 C3 3F
 309  0x4EE7  ?COMPT    4E E7 54 D0 CD 4F C3 3F
 310  0x0CD7  ?COMPR    0C D7 52 D0 CD 4F C3 3F;?COMPRE
 311  0x2EE7  ?COMPH    2E E7 48 D0 CD 4F C3 3F;?COMPHL
 312  0x0AD7  ?CLR      0A D7 20 A0 D2 4C C3 3F
 313  0x04D7  ?CLOSE    04 D7 45 D3 CF 4C C3 3F
 314  0x52E7  ?CLEAR    52 E7 52 C1 C5 4C C3 3F
 315  0x10D7  ?CHATR    10 D7 52 D4 C1 48 C3 3F
 316  0x11D7  ?CHATP    11 D7 50 D4 C1 48 C3 3F;?CHATPT
 317  0x19E7  ?CGRA     19 E7 20 C1 D2 47 C3 3F
 318  0x1DD7  ?CDIR     1D D7 20 D2 C9 44 C3 3F
 319  0x18E7  ?CALPH    18 E7 48 D0 CC 41 C3 3F;?CALPHA
 320  0x33E7  ?CALLI    33 E7 49 CC CC 41 C3 3F
 321  0x1AE7  ?BUZZ     1A E7 20 DA DA 55 C2 3F
 322  0x58E7  ?BS       58 E7 20 A0 A0 53 C2 3F
 323  0x1CE7  ?BRANC    1C E7 43 CE C1 52 C2 3F
 324  0x54E7  ?BINBC    54 E7 43 C2 CE 49 C2 3F
 325  0x3EE7  ?BEEP     3E E7 20 D0 C5 45 C2 3F
 326  0x55E7  ?BCDBI    55 E7 49 C2 C4 43 C2 3F;?BCDBIN
 327  0x5FE7  ?BACKS    5F E7 53 CB C3 41 C2 3F
 328  0x58E7  ?BACKD    58 E7 44 CB C3 41 C2 3F
 329  0x5FE7  ?BACK     5F E7 20 CB C3 41 C2 3F
 330  0x12D7  ?ARGS     12 D7 20 D3 C7 52 C1 3F
 331  0x45E7  ?AMORC    45 E7 43 D2 CF 4D C1 3F
 332  0x34E7  ?ALGRA    34 E7 41 D2 C7 4C C1 3F
 333  0x59E7  ?AFXHL    59 E7 4C C8 D8 46 C1 3F
 334  0x39E7  ?AFXA     39 E7 20 C1 D8 46 C1 3F
 335  0x4DE7  ?AFTIM    4D E7 4D C9 D4 46 C1 3F
 336  0x3BE7  ?AFOHL    3B E7 4C C8 CF 46 C1 3F
 337  0x3AE7  ?AFOCA    3A E7 41 C3 CF 46 C1 3F
 338  0x41E7  ?AFMON    41 E7 4E CF CD 46 C1 3F
 339  0x42E7  ?AFMOH    42 E7 48 CF CD 46 C1 3F
 340  0x39E7  ?AFHEX    39 E7 58 C5 C8 46 C1 3F
 341  0x38E7  ?AFBIN    38 E7 4E C9 C2 46 C1 3F
 342  0x38E7  ?AFBA     38 E7 20 C1 C2 46 C1 3F
